Year,wales_subregion,wales_counties,Number of Projects ,Electrical Capacity (MWe) ,Heat Capacity (MWth) ,Electrical Generation (MWhe) ,Heat Generation (MWhth) 
2018,Mid & South West Wales,Neath Port Talbot ,1909,331.44582,19.815463,1022849.719,69559.37198
2018,South East Wales ,Bridgend ,2587,100.20738,9.132657,204152.0558,25823.73031
2018,South East Wales,Vale of Glamorgan ,2262,94.14335,10.150277,140933.9442,29640.06256
2018,South East Wales,Cardiff ,3480,52.40871,11.856603,173628.9445,51765.77613
2018,South East Wales,Rhondda Cynon Taf ,3862,238.00175,17.427189,570535.4405,50363.15956
2018,South East Wales,Merthyr Tydfil ,747,15.72616,5.307228,39723.45365,19452.52192
2018,South East Wales,Caerphilly ,2905,67.11491,7.972241,95295.82013,23828.9213
2018,South East Wales,Blaenau Gwent ,939,18.35327,9.377809,43083.57896,27399.08467
2018,South East Wales,Torfaen ,1979,11.25636,3.774944,12380.28795,12354.74698
2018,South East Wales,Monmouthshire ,4193,62.55366,30.524395,151554.081,106685.1616
2018,South East Wales,Newport ,2238,49.60918,11.400785,117973.0733,34275.17942
2018,Offshore ,offshore,3,726,0,2200476.96,0
2018,Unknown (1),Unknown,2,0.076,0.045,435.40704,248.346
2019,North Wales ,Isle of Anglesey ,2399,78.26424,9.937684,136345.3247,23524.33687
2019,North Wales,Gwynedd ,3394,103.26621,22.848204,173067.6821,62467.1142
2019,North Wales,Conwy ,2052.5,93.62555,13.044241,185170.7399,36444.64962
2019,North Wales,Denbighshire ,2324.5,161.10096,21.875863,366348.8852,66018.43815
2019,North Wales,Flintshire ,3859,118.15106,109.199034,228997.2402,550223.0817
2019,North Wales,Wrexham ,4942,46.87658,38.80941,62334.91061,122340.9354
2019,Mid & South West Wales ,Powys ,6994,239.125465,148.537809,532493.7192,447801.6504
2019,Mid & South West Wales,Ceredigion ,4143,191.12225,74.422588,374169.7723,259628.7256
2019,Mid & South West Wales,Pembrokeshire ,5429,217.92302,36.622153,243408.81,100518.7483
2019,Mid & South West Wales,Carmarthenshire ,6119,260.64775,55.113379,452273.5221,155797.5364
2019,Mid & South West Wales,Swansea ,3100,88.53216,9.116595,135621.137,26153.71055
2019,Mid & South West Wales,Neath Port Talbot ,1943.5,331.66252,19.983463,889298.6274,69883.14158
2019,South East Wales ,Bridgend ,2655,100.39481,9.641657,199152.9654,26873.00311
