Wales Regions,Counties,Number of Projects ,Electrical Capacity (MWe) ,Heat Capacity (MWth) ,Electrical Generation (MWhe) ,Heat Generation (MWhth) ,Technology,Year
North Wales,Conwy ,1349,15.352,0.0,14524.22016,0.0,Solar PV,2018
North Wales,Denbighshire ,1578,8.93793,0.0,8455.996814,0.0,Solar PV,2018
North Wales,Flintshire ,3104,89.44828,0.0,84625.228742,0.0,Solar PV,2018
North Wales,Wrexham ,4465,40.27024,0.0,38098.868659,0.0,Solar PV,2018
Mid & South West Wales,Powys ,4008,22.5069,0.0,21293.327952,0.0,Solar PV,2018
Mid & South West Wales,Ceredigion ,2137,30.07016,0.0,28448.776973,0.0,Solar PV,2018
Mid & South West Wales,Pembrokeshire ,3634,189.70851,0.0,179479.427141,0.0,Solar PV,2018
Mid & South West Wales,Carmarthenshire ,4212,107.69163,0.0,101884.89731,0.0,Solar PV,2018
Mid & South West Wales,Swansea ,2603,51.93181,0.0,49131.646805,0.0,Solar PV,2018
Mid & South West Wales,Neath Port Talbot ,1662,38.63368,0.0,36550.551974,0.0,Solar PV,2018
South East Wales ,Bridgend ,2328,29.34398,0.0,27761.752598,0.0,Solar PV,2018
South East Wales,Vale of Glamorgan ,2025,82.48535,0.0,78037.739928,0.0,Solar PV,2018
South East Wales,Cardiff ,3300,13.32571,0.0,12607.187717,0.0,Solar PV,2018
South East Wales,Rhondda Cynon Taf ,3140,42.61559,0.0,40317.757387,0.0,Solar PV,2018
South East Wales,Merthyr Tydfil ,629,6.65716,0.0,6298.205933,0.0,Solar PV,2018
South East Wales,Caerphilly ,2449,48.81091,0.0,46179.025733,0.0,Solar PV,2018
South East Wales,Blaenau Gwent ,608,10.24477,0.0,9692.372002,0.0,Solar PV,2018
South East Wales,Torfaen ,1910,10.86586,0.0,10279.972829,0.0,Solar PV,2018
South East Wales,Monmouthshire ,3573,43.73266,0.0,41374.594973,0.0,Solar PV,2018
South East Wales,Newport ,2101,22.95418,0.0,21716.490614,0.0,Solar PV,2018
Offshore ,Offshore,0,0.0,0.0,0.0,0.0,Solar PV,2018
Unknown (1),Unknown,0,0.0,0.0,0.0,0.0,Solar PV,2018
North Wales ,Isle of Anglesey ,183,0.0,0.473601,0.0,0.0,Solar Thermal,2018
North Wales,Gwynedd ,166,0.0,0.541792,0.0,0.0,Solar Thermal,2018
North Wales,Conwy ,250,0.0,0.937344,0.0,0.0,Solar Thermal,2018
North Wales,Denbighshire ,141,0.0,0.38695,0.0,0.0,Solar Thermal,2018
North Wales,Flintshire ,84,0.0,0.216764,0.0,0.0,Solar Thermal,2018
North Wales,Wrexham ,106,0.0,0.325708,0.0,0.0,Solar Thermal,2018
Mid & South West Wales,Powys ,671,0.0,1.887605,0.0,0.0,Solar Thermal,2018
Mid & South West Wales,Ceredigion ,346,0.0,0.973153,0.0,0.0,Solar Thermal,2018
Mid & South West Wales,Pembrokeshire ,550,0.0,1.705411,0.0,0.0,Solar Thermal,2018
Mid & South West Wales,Carmarthenshire ,289,0.0,0.91435,0.0,0.0,Solar Thermal,2018
Mid & South West Wales,Swansea ,148,0.0,0.416186,0.0,0.0,Solar Thermal,2018
Mid & South West Wales,Neath Port Talbot ,39,0.0,0.113436,0.0,0.0,Solar Thermal,2018
South East Wales ,Bridgend ,101,0.0,0.47014,0.0,0.0,Solar Thermal,2018
South East Wales,Vale of Glamorgan ,87,0.0,0.131094,0.0,0.0,Solar Thermal,2018
South East Wales,Cardiff ,92,0.0,0.383969,0.0,0.0,Solar Thermal,2018
South East Wales,Rhondda Cynon Taf ,545,0.0,1.568333,0.0,0.0,Solar Thermal,2018
South East Wales,Merthyr Tydfil ,67,0.0,0.039912,0.0,0.0,Solar Thermal,2018
South East Wales,Caerphilly ,345,0.0,0.663632,0.0,0.0,Solar Thermal,2018
South East Wales,Blaenau Gwent ,290,0.0,0.500424,0.0,0.0,Solar Thermal,2018
South East Wales,Torfaen ,18,0.0,0.051231,0.0,0.0,Solar Thermal,2018
South East Wales,Monmouthshire ,112,0.0,0.315837,0.0,0.0,Solar Thermal,2018
South East Wales,Newport ,34,0.0,0.14544,0.0,0.0,Solar Thermal,2018
Offshore ,Offshore,0,0.0,0.0,0.0,0.0,Solar Thermal,2018
Unknown (1),Unknown,0,0.0,0.0,0.0,0.0,Solar Thermal,2018
North Wales ,Isle of Anglesey ,2.0,1.9,0.19,10271.603727,1165.08,Anaerobic Digestion,2019
North Wales,Gwynedd ,2.0,0.49,0.178,2648.99254,1091.496,Anaerobic Digestion,2019
North Wales,Conwy ,3.0,0.0,0.405,0.0,2483.46,Anaerobic Digestion,2019
North Wales,Denbighshire ,3.0,1.332,1.271,7200.934823,7793.772,Anaerobic Digestion,2019
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2019
North Wales,Wrexham ,5.0,0.415,0.661,2243.534498,4053.252,Anaerobic Digestion,2019
Mid & South West Wales,Powys ,13.0,4.093,2.338,22127.196871,14336.616,Anaerobic Digestion,2019
Mid & South West Wales,Ceredigion ,4.0,1.325,1.297,7163.092073,7953.204,Anaerobic Digestion,2019
Mid & South West Wales,Pembrokeshire ,2.0,0.003,0.091,16.218322,558.012,Anaerobic Digestion,2019
Mid & South West Wales,Carmarthenshire ,2.0,0.516,0.199,2789.551328,1220.268,Anaerobic Digestion,2019
Mid & South West Wales,Swansea ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2019
Mid & South West Wales,Neath Port Talbot ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2019
South East Wales ,Bridgend ,1.0,2.8,0.0,15137.100229,0.0,Anaerobic Digestion,2019
South East Wales,Vale of Glamorgan ,1.0,0.5,0.0,2703.053612,0.0,Anaerobic Digestion,2019
South East Wales,Cardiff ,1.0,1.8,0.0,9730.993005,0.0,Anaerobic Digestion,2019
South East Wales,Rhondda Cynon Taf ,1.0,1.189,0.704,6427.86149,4316.928,Anaerobic Digestion,2019
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2019
South East Wales,Caerphilly ,2.0,1.899,0.522,10266.19762,3200.904,Anaerobic Digestion,2019
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2019
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2019
South East Wales,Monmouthshire ,2.0,0.36,0.084,1946.198601,515.088,Anaerobic Digestion,2019
South East Wales,Newport ,2.0,0.484,0.095,2616.555897,582.54,Anaerobic Digestion,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2019
North Wales ,Isle of Anglesey ,59.0,0.0,3.301691,0.0,10122.983831,Biomass,2019
North Wales,Gwynedd ,219.0,0.0,16.160542,0.0,49548.22229,Biomass,2019
North Wales,Conwy ,121.0,0.0,8.548217,0.0,26208.83332,Biomass,2019
North Wales,Denbighshire ,169.0,0.0,15.484263,0.0,47474.748925,Biomass,2019
North Wales,Flintshire ,141.0,0.0,13.93524,0.0,42725.44584,Biomass,2019
North Wales,Wrexham ,89.0,0.0,33.8416,0.0,103758.3456,Biomass,2019
Mid & South West Wales,Powys ,957.0,0.0,132.350048,0.0,405785.246252,Biomass,2019
Mid & South West Wales,Ceredigion ,257.0,0.0,43.354645,0.0,132925.34254,Biomass,2019
Mid & South West Wales,Pembrokeshire ,286.0,0.0,27.496312,0.0,84303.691636,Biomass,2019
Mid & South West Wales,Carmarthenshire ,507.0,0.0,43.874439,0.0,134519.02952,Biomass,2019
Mid & South West Wales,Swansea ,56.0,0.0,5.074049,0.0,15557.034462,Biomass,2019
Mid & South West Wales,Neath Port Talbot ,87.0,0.0,15.456777,0.0,47390.479193,Biomass,2019
South East Wales ,Bridgend ,36.0,0.0,7.823467,0.0,23986.751304,Biomass,2019
South East Wales,Vale of Glamorgan ,61.0,0.0,9.001323,0.0,27598.055929,Biomass,2019
South East Wales,Cardiff ,21.0,0.0,4.935984,0.0,15133.726455,Biomass,2019
South East Wales,Rhondda Cynon Taf ,61.0,0.0,14.943207,0.0,45815.87277,Biomass,2019
South East Wales,Merthyr Tydfil ,14.0,0.0,3.415416,0.0,10471.666203,Biomass,2019
South East Wales,Caerphilly ,48.0,0.0,6.568449,0.0,20138.863804,Biomass,2019
South East Wales,Blaenau Gwent ,14.0,0.0,8.766885,0.0,26879.269077,Biomass,2019
South East Wales,Torfaen ,20.0,0.0,2.863893,0.0,8780.697031,Biomass,2019
South East Wales,Monmouthshire ,188.0,0.0,20.930828,0.0,64173.917978,Biomass,2019
South East Wales,Newport ,39.0,0.0,10.408155,0.0,31911.402044,Biomass,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Biomass,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Biomass,2019
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
North Wales,Gwynedd ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
North Wales,Conwy ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
North Wales,Wrexham ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
Mid & South West Wales,Powys ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
Mid & South West Wales,Pembrokeshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
Mid & South West Wales,Swansea ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
Mid & South West Wales,Neath Port Talbot ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales,Cardiff ,1.0,30.0,0.0,162183.216742,0.0,Energy from Waste,2019
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2019
North Wales ,Isle of Anglesey ,1.0,0.082,0.123,443.300792,678.8124,Biomass Electricity and Combined Heat and Power,2019
North Wales,Gwynedd ,1.0,0.1095,0.0,591.968741,0.0,Biomass Electricity and Combined Heat and Power,2019
North Wales,Conwy ,5.0,1.419,0.3075,7671.266152,1697.031,Biomass Electricity and Combined Heat and Power,2019
North Wales,Denbighshire ,5.0,1.485,0.387,8028.069229,2135.7756,Biomass Electricity and Combined Heat and Power,2019
North Wales,Flintshire ,1.0,25.0,90.0,135152.680618,496692.0,Biomass Electricity and Combined Heat and Power,2019
North Wales,Wrexham ,2.0,0.336,0.504,1816.452028,2781.4752,Biomass Electricity and Combined Heat and Power,2019
Mid & South West Wales,Powys ,9.0,0.913,0.969,4935.775896,5347.7172,Biomass Electricity and Combined Heat and Power,2019
Mid & South West Wales,Ceredigion ,4.0,3.298,17.447,17829.341627,96286.5036,Biomass Electricity and Combined Heat and Power,2019
Mid & South West Wales,Pembrokeshire ,2.0,0.092,0.138,497.361865,761.5944,Biomass Electricity and Combined Heat and Power,2019
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Biomass Electricity and Combined Heat and Power,2019
Mid & South West Wales,Swansea ,1.0,0.6,0.0,3243.664335,0.0,Biomass Electricity and Combined Heat and Power,2019
Mid & South West Wales,Neath Port Talbot ,2.0,55.8,0.0,301660.78314,0.0,Biomass Electricity and Combined Heat and Power,2019
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Vale of Glamorgan ,2.0,10.058,0.0,54374.626466,0.0,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Cardiff ,1.0,0.05,0.0,270.305361,0.0,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Merthyr Tydfil ,1.0,1.0,1.5,5406.107225,8278.2,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Caerphilly ,2.0,0.17,0.0,919.038228,0.0,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Blaenau Gwent ,1.0,3.573,0.0,19316.021114,0.0,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Torfaen ,1.0,0.352,0.525,1902.949743,2897.37,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Monmouthshire ,5.0,18.3145,7.85125,99010.150767,43329.4785,Biomass Electricity and Combined Heat and Power,2019
South East Wales,Newport ,2.0,9.035,0.0675,48844.178775,372.519,Biomass Electricity and Combined Heat and Power,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Biomass Electricity and Combined Heat and Power,2019
Unknown (1),Unknown,2.0,0.076,0.045,410.864149,248.346,Biomass Electricity and Combined Heat and Power,2019
North Wales ,Isle of Anglesey ,501.0,0.0,5.844902,0.0,11264.295134,Heat Pump,2019
North Wales,Gwynedd ,553.0,0.0,5.96322,0.0,11492.317584,Heat Pump,2019
North Wales,Conwy ,223.0,0.0,2.84267,0.0,5478.393624,Heat Pump,2019
North Wales,Denbighshire ,325.0,0.0,4.34665,0.0,8376.86388,Heat Pump,2019
North Wales,Flintshire ,470.0,0.0,4.82203,0.0,9293.016216,Heat Pump,2019
North Wales,Wrexham ,222.0,0.0,2.29389,0.0,4420.784808,Heat Pump,2019
Mid & South West Wales,Powys ,989.0,0.0,10.984466,0.0,21169.262875,Heat Pump,2019
Mid & South West Wales,Ceredigion ,1223.0,0.0,11.34447,0.0,21863.062584,Heat Pump,2019
Mid & South West Wales,Pembrokeshire ,653.0,0.0,7.1841,0.0,13845.19752,Heat Pump,2019
Mid & South West Wales,Carmarthenshire ,899.0,0.0,10.11305,0.0,19489.86996,Heat Pump,2019
Mid & South West Wales,Swansea ,225.0,0.0,2.81792,0.0,5430.695424,Heat Pump,2019
Mid & South West Wales,Neath Port Talbot ,110.0,0.0,1.10325,0.0,2126.1834,Heat Pump,2019
South East Wales ,Bridgend ,149.0,0.0,1.34805,0.0,2597.96196,Heat Pump,2019
South East Wales,Vale of Glamorgan ,195.0,0.0,2.31886,0.0,4468.906992,Heat Pump,2019
South East Wales,Cardiff ,179.0,0.0,2.14165,0.0,4127.38788,Heat Pump,2019
South East Wales,Rhondda Cynon Taf ,149.0,0.0,1.71923,0.0,3313.300056,Heat Pump,2019
South East Wales,Merthyr Tydfil ,36.0,0.0,0.4539,0.0,874.75608,Heat Pump,2019
South East Wales,Caerphilly ,85.0,0.0,0.91916,0.0,1771.405152,Heat Pump,2019
South East Wales,Blaenau Gwent ,45.0,0.0,0.3905,0.0,752.5716,Heat Pump,2019
South East Wales,Torfaen ,60.0,0.0,0.67482,0.0,1300.513104,Heat Pump,2019
South East Wales,Monmouthshire ,468.0,0.0,5.16288,0.0,9949.902336,Heat Pump,2019
South East Wales,Newport ,58.0,0.0,0.79669,0.0,1535.380968,Heat Pump,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Heat Pump,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Heat Pump,2019
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Hydropower,2019
North Wales,Gwynedd ,144.0,59.37143,0.0,119399.066195,0.0,Hydropower,2019
North Wales,Conwy ,30.0,34.8739,0.0,64242.636498,0.0,Hydropower,2019
North Wales,Denbighshire ,20.0,2.33123,0.0,6418.070439,0.0,Hydropower,2019
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Hydropower,2019
North Wales,Wrexham ,0.0,0.0,0.0,0.0,0.0,Hydropower,2019
Mid & South West Wales,Powys ,79.0,7.9151,0.0,17939.04575,0.0,Hydropower,2019
Mid & South West Wales,Ceredigion ,26.0,70.84433,0.0,125572.408534,0.0,Hydropower,2019
Mid & South West Wales,Pembrokeshire ,14.0,0.5482,0.0,1509.240279,0.0,Hydropower,2019
Mid & South West Wales,Carmarthenshire ,13.0,4.6973,0.0,8375.319154,0.0,Hydropower,2019
Mid & South West Wales,Swansea ,2.0,0.056,0.0,154.172666,0.0,Hydropower,2019
Mid & South West Wales,Neath Port Talbot ,10.0,0.5449,0.0,1500.155104,0.0,Hydropower,2019
South East Wales ,Bridgend ,3.0,0.0294,0.0,80.94065,0.0,Hydropower,2019
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Hydropower,2019
South East Wales,Cardiff ,1.0,0.36,0.0,991.109997,0.0,Hydropower,2019
South East Wales,Rhondda Cynon Taf ,4.0,0.1804,0.0,496.656232,0.0,Hydropower,2019
South East Wales,Merthyr Tydfil ,4.0,0.2364,0.0,650.828898,0.0,Hydropower,2019
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Hydropower,2019
South East Wales,Blaenau Gwent ,1.0,0.0145,0.0,39.919708,0.0,Hydropower,2019
South East Wales,Torfaen ,1.0,0.029,0.0,79.839416,0.0,Hydropower,2019
South East Wales,Monmouthshire ,11.0,0.2359,0.0,649.452356,0.0,Hydropower,2019
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Hydropower,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Hydropower,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Hydropower,2019
North Wales ,Isle of Anglesey ,1.0,0.34,0.0,1270.00743,0.0,Landfill Gas,2019
North Wales,Gwynedd ,2.0,0.24,0.0,896.475833,0.0,Landfill Gas,2019
North Wales,Conwy ,1.0,2.006,0.0,7493.043835,0.0,Landfill Gas,2019
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2019
North Wales,Flintshire ,2.0,1.325,0.0,4949.29366,0.0,Landfill Gas,2019
North Wales,Wrexham ,3.0,4.38,0.0,16360.683947,0.0,Landfill Gas,2019
Mid & South West Wales,Powys ,1.0,2.0,0.0,7470.631939,0.0,Landfill Gas,2019
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2019
Mid & South West Wales,Pembrokeshire ,1.0,1.5,0.0,5602.973954,0.0,Landfill Gas,2019
Mid & South West Wales,Carmarthenshire ,1.0,2.006,0.0,7493.043835,0.0,Landfill Gas,2019
Mid & South West Wales,Swansea ,1.0,0.822,0.0,3070.429727,0.0,Landfill Gas,2019
Mid & South West Wales,Neath Port Talbot ,2.0,3.4,0.0,12700.074297,0.0,Landfill Gas,2019
South East Wales ,Bridgend ,1.0,0.33,0.0,1232.65427,0.0,Landfill Gas,2019
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2019
South East Wales,Cardiff ,2.0,2.342,0.0,8748.110001,0.0,Landfill Gas,2019
South East Wales,Rhondda Cynon Taf ,2.0,1.056,0.0,3944.493664,0.0,Landfill Gas,2019
South East Wales,Merthyr Tydfil ,2.0,6.329,0.0,23640.814772,0.0,Landfill Gas,2019
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2019
South East Wales,Blaenau Gwent ,1.0,1.604,0.0,5991.446815,0.0,Landfill Gas,2019
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2019
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2019
South East Wales,Newport ,1.0,1.006,0.0,3757.727865,0.0,Landfill Gas,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2019
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
North Wales,Gwynedd ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
North Wales,Conwy ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
North Wales,Wrexham ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
Mid & South West Wales,Powys ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
Mid & South West Wales,Pembrokeshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
Mid & South West Wales,Swansea ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
Mid & South West Wales,Neath Port Talbot ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Cardiff ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Nuclear,2019
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
North Wales,Gwynedd ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
North Wales,Conwy ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
North Wales,Wrexham ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
Mid & South West Wales,Powys ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
Mid & South West Wales,Pembrokeshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
Mid & South West Wales,Swansea ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
Mid & South West Wales,Neath Port Talbot ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Cardiff ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
Offshore ,Offshore,3.0,726.0,0.0,2200476.96,0.0,Offshore Wind,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2019
North Wales ,Isle of Anglesey ,49.0,39.36207,0.0,90175.354563,0.0,Onshore Wind,2019
North Wales,Gwynedd ,36.0,6.8527,0.0,15698.987686,0.0,Onshore Wind,2019
North Wales,Conwy ,39.5,39.8554,0.0,91305.534141,0.0,Onshore Wind,2019
North Wales,Denbighshire ,38.5,146.683,0.0,336039.022676,0.0,Onshore Wind,2019
North Wales,Flintshire ,17.0,1.9277,0.0,4416.206541,0.0,Onshore Wind,2019
North Wales,Wrexham ,1.0,0.02,0.0,45.818401,0.0,Onshore Wind,2019
Mid & South West Wales,Powys ,118.0,199.4231,0.0,456862.374119,0.0,Onshore Wind,2019
Mid & South West Wales,Ceredigion ,78.0,85.1688,0.0,195114.909802,0.0,Onshore Wind,2019
Mid & South West Wales,Pembrokeshire ,149.0,25.1634,0.0,57647.337068,0.0,Onshore Wind,2019
Mid & South West Wales,Carmarthenshire ,113.0,145.07607,0.0,332357.674553,0.0,Onshore Wind,2019
Mid & South West Wales,Swansea ,5.0,34.225,0.0,78406.738007,0.0,Onshore Wind,2019
Mid & South West Wales,Neath Port Talbot ,11.5,230.05524,0.0,527038.156775,0.0,Onshore Wind,2019
South East Wales ,Bridgend ,15.0,67.704,0.0,155104.449672,0.0,Onshore Wind,2019
South East Wales,Vale of Glamorgan ,6.0,1.1,0.0,2520.012032,0.0,Onshore Wind,2019
South East Wales,Cardiff ,3.0,0.106,0.0,242.837523,0.0,Onshore Wind,2019
South East Wales,Rhondda Cynon Taf ,11.5,192.96076,0.0,442057.670391,0.0,Onshore Wind,2019
South East Wales,Merthyr Tydfil ,5.0,2.4036,0.0,5506.455383,0.0,Onshore Wind,2019
South East Wales,Caerphilly ,21.0,17.155,0.0,39300.733105,0.0,Onshore Wind,2019
South East Wales,Blaenau Gwent ,7.0,2.917,0.0,6682.613726,0.0,Onshore Wind,2019
South East Wales,Torfaen ,3.0,0.0095,0.0,21.76374,0.0,Onshore Wind,2019
South East Wales,Monmouthshire ,10.0,0.2706,0.0,619.92296,0.0,Onshore Wind,2019
South East Wales,Newport ,11.0,16.13,0.0,36952.540075,0.0,Onshore Wind,2019
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Onshore Wind,2019
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Onshore Wind,2019
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2019
North Wales,Gwynedd ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2019
North Wales,Conwy ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2019
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2019
North Wales,Flintshire ,1.0,0.19,0.225,644.416064,1379.7,Sewage Gas,2019
